,inputs,targets
0,สงครามยุทธหัตถี เกิดขึ้นเมื่อไรและอย่างไร,สงครามยุทธหัตถี เป็นสงครามที่เกิดขึ้นในปี พ.ศ. 2135 ระหว่างกรุงศรีอยุธยากับกรุงหงสาวดี ผลของสงครามครั้งนั้นปรากฏว่าอยุธยาเป็นฝ่ายชนะถึงแม้จะมีกำลังพลน้อยกว่า สงครามครั้งนี้มีความโดดเด่นในการต่อสู้ระหว่างพระนเรศวรกับอุปราชมังกะยอชวา สงครามนี้เป็นการปลดปล่อยสยามจากการครอบครองของพม่าต่อไปเป็นระยะเวลา 175 ปีจนถึง พ.ศ. 2310
1,นิยายไซไฟคืออะไร,นิยายไซไฟ คือ นิยายที่เสนอมุมมองเกี่ยวกับผลกระทบต่อบุคคลหรือสังคม จากวิทยาศาสตร์หรือเทคโนโลยีในจินตนาการ บันเทิงคดีแนววิทยาศาสตร์
2,E = mc^2 กล่าวว่าอะไร,มวลขนาดเล็กจิ๋วสามารถแปลงไปเป็นพลังงานปริมาณมหาศาลได้
3,เมตาเวิร์สคืออะไร,เมตาเวิร์ส (Metaverse) หรือ จักรวาลนฤมิต เป็นการนำเทคโนโลยีโลกเสมือนกับโลกจริงเข้าด้วยกัน
4,สตีเฟน วิลเลียม ฮอว์กิงเป็นใคร,สตีเฟน วิลเลียม ฮอว์กิงเป็นนักฟิสิกส์ทฤษฎี นักจักรวาลวิทยา และนักเขียน ศาสตราจารย์ประจำมหาวิทยาลัยเคมบริดจ์
5,อาณาจักรล้านช้างคืออะไร อยู่ในช่วงปีไหนและปัจจุบันคือที่ไหน,อาณาจักรล้านช้าง คือ อาณาจักรของชนชาติลาวซึ่งตั้งอยู่ในแถบลุ่มแม่น้ำโขง มีอาณาเขตอยู่ในบริเวณประเทศลาวทั้งหมด ตลอดจนพื้นที่บางส่วนทางภาคตะวันออกเฉียงเหนือของไทย สถาปนาโดยพระเจ้าฟ้างุ้มเมื่อ พ.ศ.1896 จนถึง พ.ศ.2321 เมืองหลวงอาณาจักรนี้หลวงพระบางและเวียงจันทน์ในปัจจุบัน
6,บ้านแห่งชาวโซเวียต อยู่ที่ไหน,บ้านแห่งชาวโซเวียต (House of Soviets) อยู่ที่ใจกลางนครคาลีนินกราด แคว้นคาลินินกราด รัสเซีย
7,สี่แผ่นดินมีเรื่องราวแบบสรุป ๆ อย่างไร,"เนื้อหาพรรณนาถึงครอบครัวหนึ่งที่อาศัยอยู่ในรัชสมัยของพระมหากษัตริย์ 4 พระองค์ เริ่มจากสิ้นรัชกาลพระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัวในปี พ.ศ. 2453 จนถึงการสวรรคตของพระบาทสมเด็จพระเจ้าอยู่หัวอานันทมหิดลในปี พ.ศ.2489 ตัวละครเอก ชื่อ ""พลอย"" เป็นหญิงในตระกูลขุนนางเก่าที่มีชีวิตอยู่แต่ในรั้ววัง ใกล้ชิดกับราชสำนัก ต่อมาออกมานอกวังแต่งงานกับ ""เปรม"" หลังการปฏิวัติสยาม พ.ศ. 2475 ค่านิยมแบบเก่าของพลอยถูกกระทบกระเทือน และเกิดความขัดแย้งทางการเมืองในบรรดาบุตรธิดาสามคน ต่อมารัฐบาลออกกฎหมายปรับเปลี่ยนวิถีชีวิตให้เป็นแบบตะวันตก ในช่วงสงครามบ้านถูกระเบิดต้องย้ายกลับไปอยู่บ้านเกิด พลอยป่วยหนักเมื่อทราบว่าบุตรชายเสียชีวิต จนเสียชีวิตตามไปพร้อมกับรัชกาลที่ 8"
8,สรุปเรื่องราว ความสุขของกะทิ ให้หน่อย,ความสุขของกะทิ เล่าเรื่องราวของน้องกะทิ เด็กหญิงวัย 9 ขวบที่กำลังจะต้องสูญเสียแม่ ซึ่งป่วยเป็นโรคกล้ามเนื้ออ่อนแรง แม่รู้ตัวดีว่าไม่สามารถเลี้ยงดูกะทิได้ จึงฝากกะทิให้ตากับยายเลี้ยง กะทิเติบโตมาด้วยความรักของตาและยาย มีชีวิตอย่างสุขสบายในบ้านหลังน้อยริมคลองอันอบอุ่น
9,soft power คืออะไร,ซอฟต์พาวเวอร์ (soft power) หรือ มานานุภาพ หรือ พลังเย็น ในวิชาการเมือง โดยเฉพาะอย่างยิ่งความสัมพันธ์ระหว่างประเทศ หมายถึง ความสามารถในการดึงดูดและสร้างการมีส่วนร่วม โดยไม่ต้องบังคับหรือให้เงิน ในปัจจุบันใช้ในกรณีของการเปลี่ยนแปลงและสร้างอิทธิพลต่อความคิดของสังคมและประชาชนในประเทศอื่น
16,CRISPR คืออะไร,คริสเปอร์ (CRISPR) เป็นวงศ์ของลำดับดีเอ็นเอในแบคทีเรีย ซึ่งในลำดับมีส่วนของดีเอ็นเอ จากไวรัสที่เคยโจมตีแบคทีเรียนั้น แบคทีเรียใช้ส่วนเหล่านี้ในการตรวจหาและทำลายดีเอ็นเอจากไวรัสที่คล้ายกันในการโจมตีครั้งถัดไป ลำดับเหล่านี้ทำหน้าที่สำคัญในระบบภูมิคุ้มกันของแบคทีเรีย
17,รางวัลหมู่บ้านที่สะอาดที่สุดในโลกใน ค.ศ. 2016 เป็นของที่ไหน,เป็นของหมู่บ้านเปิงลีปูรันในเกาะบาหลี ประเทศอินโดนีเซีย
18,เพลงสรรเสริญธงชาติบราซิลมีการบรรเลงครั้งแรกเมื่อใด,มีการบรรเลงอย่างเป็นทางการครั้งแรกเมื่อวันที่ 9 พฤศจิกายน ค.ศ. 1906
19,ถ้ำเจ้ารามอยู่ที่ไหน,อยู่ที่เขตรักษาพันธุ์สัตว์ป่าถ้ำเจ้าราม จังหวัดสุโขทัย
20,"หนังสือ The Third Chimpanzee, Guns, Germs, and Steel (ปืน เชื้อโรค และเหล็กกล้ากับชะตากรรมของสังคมมนุษย์) เป็นผลงานของใคร",เป็นผลงานของ จาเร็ด ไดมอนด์ (Jared Diamond)
21,อาลฟา กงเด ดำรงตำแหน่งประธานาธิบดีกินีคนที่ 4 ช่วงเวลาใด,อาลฟา กงเด ดำรงตำแหน่งประธานาธิบดีกินีคนที่ 4 ช่วงวันที่ 21 ธันวาคม พ.ศ. 2553 – 5 กันยายน พ.ศ. 2564
22,เอเอ็นโอซีเวิร์ลบีชเกมส์ 2023 (2023 World Beach Games) ถึงถูกยกเลิกการจัดงานเพราะเหตุใด,เพราะคณะกรรมการโอลิมปิกของอินโดนีเซีย (KOI) ถอนตัวจากการเป็นเจ้าภาพจัดการแข่งขัน เอเอ็นโอซีเวิร์ลบีชเกมส์ 2023 เนื่องจากไม่ได้รับเงินทุนสนับสนุนจากรัฐบาลอินโดนีเซีย และไม่มีเวลาเพียงพอที่จะส่งต่อการเป็นเจ้าภาพให้แก่ชาติอื่น
23,องค์การนานารัฐอเมริกาจัดตั้งขึ้นด้วยวัตถุประสงค์ใเ,"องค์การนานารัฐอเมริกา (Organization of American States, OAS) ถูกจัดตั้งขึ้นมีวัตถุประสงค์เพื่อให้ความร่วมมือทางการเมือง เศรษฐกิจและการศาล สังคม วัฒนธรรม และสันติภาพ รวมถึงให้ความช่วยเหลือทางด้านทหารในกรณีที่รัฐสมาชิกใดถูกรุกราน"
24,ปี่นอกมีความยาวกับความกว้างเท่าใด,มีความยาวประมาณ 31 เซนติเมตร มึความกว้างประมาณ 3.5 เซนติเมตร
25,ภาษากิมมุนถูกใช้งานในประเทศใดบ้าง,ประเทศจีน ประเทศลาว และประเทศเวียดนาม
26,ริงคาคิง เป็นสมาคมมวยปล้ำอาชีพที่ไหน,ริงคาคิง เป็นสมาคมมวยปล้ำอาชีพที่อินเดีย
28,คณะกรรมการสุขาภิบาลมีใครบ้าง,กำนัน หัวหน้าประจำหมู่บ้าน และพ่อค้าในท้องที่
29,วัดทุ่งสีหลงมีความเป็นมาอย่างไร,วัดทุ่งสีหลง เดิมชื่อว่า วัดทุ่งตาสีหลง แต่เดิมบริเวณนี้เป็นทุ่งนากับป่าไม้ มีชายแก่คนหนึ่งชื่อตาสี ได้มาต่อนกในทุ่งจนพลบค่ำ แต่หลงทางกลับบ้านไม่ได้ ทุ่งนี้จึงได้ชื่อว่า ทุ่งตาสีหลง ต่อมาพูดสั้นลงเหลือ ทุ่งสีหลง ต่อมาได้นำชื่อนี้มาตั้งชื่อวัด
30,ทำไมเราจึงควรอ่านหนังสือ,การอ่านหนังสือเป็นการเพิ่มพูนความรู้ ความบันเทิงผ่านตัวอักษร ให้คุณสามารถปลดปล่อยจินตนาการไปกับตัวอักษร ดังนั้นเราควรอ่านหนังสือ
31,ทำไมภาษาไทยกับภาษาลาวมีภาษาที่ใกล้เคียงกัน,สาเหตุที่ภาษาไทยกับภาษาลาวมีความใกล้เคียงกันมาจากที่ทั้งสองภาษาอยู่ในกลุ่มภาษาเดียวกัน คือ กลุ่มภาษาไท จึงทำให้ภาษาทั้งสองมีความใกล้เคียงกัน นอกจากนี้ตามประวัติศาสตร์ประเทศไทยกับประเทศลาวมีความเกี่ยวข้องกันในทางประวัติศาสตร์จึงทำให้ภาษามีความใกล้เคียงกันอีกด้วย
32,ทำไมเราถึงควรเรียนรู้ภาษาอังกฤษ,เพราะภาษาอังกฤษเป็นที่นิยมใช้งานกันทั่วโลก และเป็นหนึ่งในภาษาสากล ดังนั้นหากต้องติดต่อกับชาวต่างชาติควรมีความรู้ภาษาอังกฤษเพื่อใช้ในการสื่อสาร
33,ภาวะโลกร้อนส่งผลกระทบอย่างไรกับชาวนา,ภาวะโลกร้อนส่งผลกระทบกับชาวนา ทำให้ฝนตกไม่ตรงตามฤดูกาล เกิดภับแล้งหรือน้ำท่วม ทำให้ผลผลิตนาข้าวได้รับความเสียหาย ได้ผลผลิตน้อยลงอันเนื่องมาจากภาวะโลกร้อน
34,จินตนาการ คืออะไร?,จินตนาการ คือ ความสามารถในการสร้างภาพในสมอง
35,ทำไมเราควรตรวจสุขภาพอย่างน้อยปีละครั้ง,การตรวจสุขภาพเป็นการทดสอบหรือประเมินสุขภาพร่างกายของคุณ ซึ่งเป็นผลดีต่อคุณเอง การตรวจสุขภาพช่วยให้คุณสามารถดูแลรักษาสุขภาพร่างกายของคุณได้อย่างตรงจุด หรือหากตรวจเจอโรคต่าง ๆ จะสามารถรักษาได้ทันเวลา ดังนั้นคุณจึงควรตรวจสุขภาพอย่างน้อยปีละครั้ง
36,ป้าข้างบ้าน คือใคร ทำไมถึงถูกพูดถึงบ่อยครั้ง,ป้าข้างบ้าน หมายถึง เพื่อนบ้านที่เป็นผู้หญิงที่ใกล้เคียงกับบ้านของตัวเอง โดยมักชอบนินทา หรือ พูดคุยอย่างดูถูกเพื่อนบ้านของตัวเอง เช่น เปรียบเทียบลูกหลานของตนกับลูกหลานของเพื่อนบ้าน หรือแสดงความคิดเห็นที่ยกตน/ฐานะของตน ดีกว่าบุคคลอื่นที่เป็นเพื่อนบ้าน สำหรับนิสัยดังกล่าวมาจากนิสัยกับการอบรมสั่งสอนของบุคคลดังกล่าว ทำให้เพื่อนบ้านได้รับเสียงกดดันหรือนินทา จนเพื่อนบ้านเกิดความแค้นต้องการเอาชนะป้าเพื่อนบ้าน ทำให้เกิด ป้าข้างบ้าน เกิดขึ้น การที่สังคมไทยมีป้าข้างบ้านขึ้น บ่งบอกได้ถึงคุณภาพของสังคมไทยที่ต้องการการเปลี่ยนแปลงเพื่อให้ผู้คนมีความเจริญทั้งทางทรัพย์สินและจิตใจให้สมกับที่เป็นมนุษย์
37,วัวสามารถบินได้ด้วยตัวเองไหม,วัวไม่สามารถบินได้ด้วยตัวเอง ต้องอาศัยเครื่องมือและความช่วยเหลือจากมนุษย์
38,มีปลาที่บินได้ไหม,มี ปลาที่บินได้คือ ปลานกกระจอก หรือ ปลาบิน เป็นวงศ์ของปลากระดูกแข็งวงศ์หนึ่ง ใช้ชื่อวิทยาศาสตร์ว่า Exocoetidae
39,ถ้าอยากให้หนังสือบินตามเราได้ ควรทำอย่างไร?,การทำให้หนังสือสามารถบินตามคุณได้ คุณควรคิดเกี่ยวกับน้ำหนักหนังสือที่คุณต้องการที่จะให้บินตาม และหาโดรนที่มีใบพัดที่สามารถรับน้ำหนักหนังสือได้ กับมีฟังก์ชันสามารถบินตามผู้ใช้งานได้มาดัดแปลงใช้งานอยู่ หรือคุณอาจจะลองประดิษฐ์โดรนขนหนังสือตามคุณได้ ถึงแม้จะใช้เวลาหน่อย แต่รับรองว่าคุ้มค่า
40,วางแผนเที่ยวอย่างไรดี,ในการวางแผนเที่ยว คุณควรศึกษาสถานที่อยากท่องเที่ยวให้เรียบร้อย เช่น เวลาเปิดปิด การเปิดทำการ รวมถึงราคาเข้าสถานที่ และวางแผน ศึกษาเส้นทาง การเดินทางไปสถานที่ดังกล่าว
41,คิดอย่างไรกับคนที่ใช้ AI สร้างข่าวปลอม,ข่าวปลอมที่สร้างด้วย AI เป็นข่าวที่มีคุณภาพต่ำ เนื่องจากเป็นข่าวปลอม ที่คนที่สั่งให้ AI สร้างต้องการข่าวปลอมตามที่ต้องการ หากข่าวปลอมนั้นส่วผลกระทบต่อบุคคลหรือสังคมย่อมเป็นการกระทำที่เลวร้ายและผิดกฎหมาย หากกระทำดังกล่าวควรถูกดำเนินคดีทางกฎหมาย
42,ชาติใดเป็นชาติแรกที่ส่งมนุษย์ไปดวงจันทร์ได้สำเร็จเป็นชาติแรก,สหรัฐอเมริกา เป็นชาติแรกของโลกที่สามารถส่งมนุษย์ไปดวงจันทร์ได้สำเร็จ จากโครงการอะพอลโล 11
43,โลกเราแบนหรือกลม,โลกเราเป็นทรงกลม ไม่ได้แบน เรื่องนี้สามารถพิสูจน์ได้และเป็นข้อเท็จจริงทางวิทยาศาสตร์ ทั้งการขึ้นลงของดวงอาทิตย์ ภาพถ่ายโดยดาวเทียมจากนอกโลก และอื่น ๆ เป็นต้น
44,โลกเป็นศูนย์กลางของจักรวาลหรือไม่,ไม่ จากหลักฐานทางวิทยาศาสตร์พบว่า โลกเราไม่ได้เป็นศูนย์กลางของจักรวาล โลกเป็นเพียงดาวเคราะห์ดวงหนึ่งที่โคจรรอบดาวฤกษ์ที่โคจรรอบดาราจักรอีกทีหนึ่ง
45,ทำไมโปรแกรมแปลภาษาถึงไม่สามารถแปลภาษาให้เหมือนมนุษย์แปลได้แบบ 100%,เพราะปัจจุบันโปรแกรมแปลภาษาต้องอาศัยข้อมูลแปลในการฝึกฝนแบบจำลองในการแปลภาษา ด้วยการเรียนรู้เชิงลึก ซึ่งปัญญาประดิษฐ์ปัจจุบันยังมีข้อจำกัดเรื่องหมวดหมู่ที่ฝึกฝน ตัวอย่างเช่น หากฝึกฝนด้วยเอกสารราชการที่แปลภาษาไทยกับภาษาอังกฤษจำนวนมาก แล้วนำไปใช้งานกับแปลนิยายหรือข่าว จะทำให้ผลลัพธ์การแปลออกมาเป็นลักษณะเดียวกันกับเอกสารราชการ เป็นต้น ซึ่งยังถือเป็นความท้าทายในการพัฒนาแบบจำลองและชุดข้อมูลอยู่สำหรับงานแปลภาษาด้วยเครื่อง
46,ทำอย่างไรดีเมื่อน้ำท่วมบ้าน,ให้ล็อกประตูบ้าน ตัดกระแสไฟในบ้าน ขนอาหารกับน้ำ แล้วอพยพขึ้นที่สูง ระวังสัตว์ที่มากับกระแสน้ำ และคอยติดตามข่าวสารจากทางภาครัฐอยู่เสมอ หากมีเหตุฉุกเฉินให้รีบขอความช่วยเหลือจากทีมกู้ภัยหรือหน่วยงานภาครัฐ
47,ขอเรื่องเล่าเกี่ยวกับแมวส้มหน่อย,มีตำนานเล่ามาว่า แมวส้มเป็นตระกูลแมวที่รากเหง้าเก่าแก่ และ แมวส้มมีลักษณะลายซ่อนอยู่ในขน
48,ชิวาว่าขึ้นชื่อเรื่องอะไร,"สุนัขสายพันธุ์ชิวาว่า ขึ้นชื่อเรื่อง ''จิ๋วแต่แจ๋ว"" ขนาดเล็กแต่ซื่อสัตย์กับเจ้าของ และไม่ไว้ใจคนแปลกหน้า"
49,เต่ามีกี่ขา,เต่ามี 4 ขา
50,เต่าสามารถถอดกระดองเต่าออกได้ไหม,เต่าไม่สามารถถอดกระดองของตัวเองออกจากร่างกายได้ เนื่องจากกระดองเต่าเชื่อมรวมต่อเข้ากับกระดูกของกระดูก เสมือนเป็นอีกอวัยวะ ดังนั้น เต่าจึงไม่สามารถถอดกระดองของตัวเองออกได้ และการ์ตูนหลายเรื่องที่เต่าสามารถถอดกระดองได้นั้นคือการสร้างความเข้าใจผิดเกี่ยวกับเรื่องนี้
51,ดร.สรณะ นุชอนงค์ คือใคร,ดร.สรณะ นุชอนงค์ เป็นคณบดี สำนักวิทยาศาสตร์และเทคโนโลยีสารสนเทศ สถาบันวิทยาสิริเมธี
52,พระมหากษัตริย์องค์ปัจจุบัน มีพระนามว่าอะไร,"พระมหากษัตริย์องค์ปัจจุบัน มีพระนามว่า ""พระบาทสมเด็จพระปรเมนทรรามาธิบดีศรีสินทรมหาวชิราลงกรณ มหิศรภูมิพลราชวรางกูร กิติสิริสมบูรณอดุลยเดช สยามินทราธิเบศรราชวโรดม บรมนาถบพิตร พระวชิรเกล้าเจ้าอยู่หัว"" ทรงเป็นพระบาทสมเด็จพระเจ้าอยู่หัว รัชกาลที่ 10"
53,ใครเป็นมนุษย์คนแรกที่เดินบนดวงจันทร์,นีล อาร์มสตรอง เป็นมนุษย์คนแรกที่เดินบนดวงจันทร์
56,สีของพระอาทิตย์คือสีอะไร,สีของพระอาทิตย์คือสีแดง
57,คุณภาพของข้อมูลมีผลต่อโมเดล machine learning อย่างไร,คุณภาพของข้อมูลยิ่งสูงยิ่งทำให้โมเดลสามารถเรียนรู้ได้รวดเร็วยิ่งขึ้น การมีข้อมูลคุณภาพช่วยให้โมเดลสามารถเรียนรู้ได้มีประสิทธิภาพมากยิ่งขึ้น ลดปัญหาการทำนายผิดจากข้อมูลผิดได้
58,มหาวิทยาลัยอันดับหนึ่งในไทย ที่สอบเข้ายากมากที่สุด คืออะไร,จุฬาลงกรณ์มหาวิทยาลัย
59,จังหวัดที่มีประชากรมากที่สุดในประเทศไทยคืออะไร,กรุงเทพมหานคร เป็นจังหวัดที่มีประชากรมากที่สุดในประเทศไทย
60,ยอดเขาที่สูงที่สุดในประเทศไทยคือที่ไหน,"ยอดดอยอินทนนท์ ที่เชียงใหม่ สูง 2,580 เมตร จากระดับน้ำทะเล"
61,ถนนสายแรกในประเทศไทยคือถนนอะไร,ถนนเจริญกรุง สร้างขึ้นในรัชกาลที่ 5
62,วนอุทยานแห่งชาติที่อยู่สูงที่สุดของประเทศไทยคืออะไร,ภูกระดึง จังหวัดเลย
63,มหาวิทยาลัยแห่งแรกของไทยคืออะไร,จุฬาลงกรณ์มหาวิทยาลัย
64,"ประเทศไทย เปลี่ยนจากเดิมเรียกว่า ""ประเทศสยาม"" มาเป็น ""ประเทศไทย"" เมื่อไหร่","เมื่อวันที่ 11 พฤษภาคม พ.ศ.2492 ได้มีการเปลี่ยนจาก ""ประเทศสยาม"" เป็น ""ประเทศไทย"""
65,กฎมณเฑียรบาล คือกฎหมายอะไร,กฎมณเฑียรบาล คือกฎหมายพิเศษที่กล่าวถึง พระราชฐาน และพระราชวงศ์
66,กบฎแมนฮัตตัน เกิดขึ้นในรัฐบาลใด,รัฐบาลสมัย จอมพล ป.พิบูลสงคราม เกิดขึ้นในวันที่มีพิธีรับมอบเรือแมนฮัตตัน จากสหรัฐอเมริกา ที่ท่าราชวรดิษฐ์
67,"ผู้ที่ได้รับยกย่องให้เป็น ""บิดาแห่งการแพทย์ไทย"" คือใคร",สมเด็จพระราชบิดากรมหลวงสงขลานคริทร์
68,จังหวัดในประวัติศาสตร์ไทยซึ่งมีชื่อเต็มยาวที่สุดคือจังหวัดอะไร,กรุงเทพมหานคร อมรรัตนโกสินทร์ มหินทรายุธยา มหาดิลกภพ นพรัตนราชธานีบุรีรมย์ อุดมราชนิเวศน์มหาสถาน อมรพิมานอวตารสถิต สักกะทัตติยวิษณุกรรมประสิทธิ์
69,คุณคิดว่าเพราะเหตุใดหนองน้ำนี้ถึงมีชื่อ หนองบัวแดง,หนองบัวแดง จากชื่อมีคำว่า บัว เป็นพืชชนิดหนึ่งและมีคำว่า แดง เป็นสีอยู่ในชื่อ ฉันคิดว่าเป็นเพราะหนองน้ำนี้มีบัวสีแดงขึ้นเป็นจำนวนมาก จึงได้ชื่อว่าหนองบังแดง
70,วิธีที่ดีที่สุดในการเรียนรู้ภาษาต่างประเทศภาษาใหม่คืออะไร,วิธีที่ดีที่สุดในการเรียนรู้ภาษาใหม่คือเรียนแบบผสมผสานระหว่างการพูด การฟัง การอ่าน และการเขียน และฝึกสื่อสารกับเจ้าของภาษา
71,ถ้ามีคนบอกว่าใครคนนั้นเป็นอัจฉริยะ จะพิสูจน์ได้อย่างไร,คุณสามารถพิสูจน์ได้โดยให้เขาลองแก้ไขปัญายาก ๆ ดู
72,จริงหรือไม่ที่เราสามารถป่วยได้จากการกินอาหารบางอย่างเข้าไป,จริง อาหารดังกล่าวอาจมีพิษหรือกระตุ้นอาการแพ้ของร่างกาย ดังนั้นคุณควรหลีกเลี่ยงอาหารที่มีพิษและอาหารที่คุณแพ้
73,จงเขียนตัวเลขจากข้อความต่อไปนี้ ห้าร้อยห้าสิบห้า,"สามารถเขียนข้อความ ""ห้าร้อยห้าสิบห้า"" เป็นตัวเลขได้ดังนี้ ""555"""
74,นิธิ เอียวศรีวงศ์ เสียชีวิตเมื่อไร,นิธิ เอียวศรีวงศ์ เสียชีวิตเมื่อวันที่ 7 สิงหาคม พ.ศ.2566
